income_stability,average_eligible_emi,average_usable_salary,average_monthly_credit,employer_category,employment_tenure_years,average_month_end_balance,bounce_count,gambling_transaction_count,active_loans_count,has_credit_card,has_personal_loan,has_home_loan,credit_exposure_intensity,average_obligation_to_income_ratio,credit_score
FLUCTUATING,43721.75,113591,213088.53,Category A (MNC/Govt/PSU),0.38,472643.76,0,2,1,1,0,0,2,66.25,534
FLUCTUATING,14817.87,27241,79251.57,Unlisted,12.0,52539.23,0,0,5,1,1,1,5,27.59,635
STABLE,15285.48,25748,71077.45,Category A (MNC/Govt/PSU),0.56,932.34,0,0,2,0,1,0,3,63.02,592
STABLE,96117.29,195639,311482.27,Category C (Partnership/Proprietorship),0.93,576131.81,0,0,2,1,1,0,2,49.5,709
STABLE,145213.98,201246,734762.22,Category B (Private Ltd),18.23,726386.49,0,0,3,1,0,1,3,91.48,811
STABLE,30001.81,82144,123902.35,Category B (Private Ltd),16.92,128648.12,0,0,3,1,0,1,4,24.65,784
UNSTABLE,75249.29,127718,167483.05,Category A (MNC/Govt/PSU),1.28,8221.26,0,0,2,1,0,0,2,25.87,589
STABLE,102373.35,294331,320286.41,Category A (MNC/Govt/PSU),2.69,1227106.27,0,0,2,0,0,0,3,36.35,782
STABLE,147770.71,299884,464896.82,Category B (Private Ltd),7.72,1267233.84,0,0,5,1,1,1,6,70.34,738
STABLE,15417.6,27881,55181.38,Category A (MNC/Govt/PSU),10.27,796.84,0,0,1,0,0,0,2,23.4,674
STABLE,141552.21,241609,437507.49,Category A (MNC/Govt/PSU),0.07,11573.61,0,0,3,1,0,0,4,75.21,612
STABLE,70137.42,190903,468423.87,Category C (Partnership/Proprietorship),0.83,97197.22,0,0,3,1,0,1,3,54.2,705
STABLE,25379.91,62284,165404.95,Category A (MNC/Govt/PSU),1.4,5439.08,0,0,2,0,0,1,2,93.53,595
FLUCTUATING,47311.5,135349,384779.24,Category B (Private Ltd),1.63,623372.51,0,0,2,0,0,1,3,46.31,695
STABLE,45095.99,129783,310273.32,Category A (MNC/Govt/PSU),5.47,149873.5,1,0,2,1,0,0,3,11.84,709
STABLE,13423.74,40921,82484.47,Category A (MNC/Govt/PSU),2.69,202084.5,0,0,0,0,0,0,1,91.12,668
STABLE,103834.27,180100,314590.96,Unlisted,12.47,269815.32,0,0,2,0,0,1,2,61.02,681
FLUCTUATING,63192.38,149180,321905.54,Category A (MNC/Govt/PSU),4.31,520846.26,0,0,3,1,0,1,4,21.97,703
STABLE,87837.48,220323,444308.51,Category A (MNC/Govt/PSU),1.88,629885.9,0,0,5,1,1,1,5,42.56,760
STABLE,50514.93,117042,209119.61,Category C (Partnership/Proprietorship),2.78,153151.8,0,0,0,0,0,0,0,28.28,712
STABLE,77877.49,172812,506629.06,Unlisted,10.01,151441.88,0,0,1,0,0,0,1,50.71,700
STABLE,17248.69,53555,120939.36,Category C (Partnership/Proprietorship),0.71,210981.21,0,0,3,0,1,1,4,57.15,712
STABLE,99772.48,228171,350599.43,Category C (Partnership/Proprietorship),1.88,515007.08,0,0,0,0,0,0,0,43.61,727
STABLE,158702.54,285659,676454.72,Category A (MNC/Govt/PSU),5.82,477796.83,0,0,4,1,0,1,5,19.05,759
FLUCTUATING,24095.53,65746,101181.79,Category A (MNC/Govt/PSU),23.94,4062.89,1,0,3,1,1,1,3,90.54,491
STABLE,135169.85,287917,695343.82,Unlisted,13.99,1436797.62,0,0,2,0,1,1,2,49.51,837
STABLE,31349.0,53923,112414.24,Category C (Partnership/Proprietorship),0.47,140751.53,0,0,4,1,0,1,5,11.27,703
STABLE,75744.68,135093,387456.58,Category A (MNC/Govt/PSU),0.73,530324.21,2,0,0,0,0,0,1,46.48,669
FLUCTUATING,7873.22,13212,27311.58,Category A (MNC/Govt/PSU),8.81,51937.04,2,0,0,0,0,0,0,52.65,580
STABLE,49902.51,96623,263367.74,Category B (Private Ltd),25.97,428465.06,0,0,0,0,0,0,1,11.03,779
FLUCTUATING,87348.03,151929,167128.67,Category A (MNC/Govt/PSU),7.79,116690.22,3,0,5,1,1,1,6,79.98,524
FLUCTUATING,55139.78,99460,172594.54,Category B (Private Ltd),3.5,484359.56,0,0,5,1,1,1,5,16.67,677
STABLE,66552.1,158421,274541.56,Category B (Private Ltd),5.48,585564.21,0,0,4,1,1,1,4,24.84,763
STABLE,52615.56,138824,197092.51,Category B (Private Ltd),0.47,6039.13,0,0,0,0,0,0,1,58.09,647
UNSTABLE,49576.23,98754,274789.46,Category C (Partnership/Proprietorship),1.02,359645.29,0,0,3,1,1,0,4,72.02,598
UNSTABLE,79718.12,158188,421071.93,Category A (MNC/Govt/PSU),0.12,144612.9,0,0,5,1,1,1,5,81.82,551
STABLE,53599.13,130403,135185.76,Category A (MNC/Govt/PSU),7.02,119869.44,0,0,3,1,0,0,3,87.15,666
STABLE,46309.66,151268,309154.01,Category B (Private Ltd),1.33,500153.32,0,0,3,0,0,1,4,58.26,744
STABLE,52136.36,133323,162282.73,Category B (Private Ltd),5.65,506126.42,1,0,3,1,0,1,3,34.59,720
STABLE,56495.89,148307,300006.2,Category B (Private Ltd),3.59,305249.39,0,0,3,0,1,1,3,73.05,733
FLUCTUATING,55326.04,93251,239965.96,Category C (Partnership/Proprietorship),9.74,3974.25,0,0,1,0,0,0,1,35.82,591
STABLE,18388.88,33466,95879.54,Category C (Partnership/Proprietorship),9.26,69305.46,0,0,2,1,1,0,3,59.26,713
STABLE,90408.59,154294,341981.32,Category A (MNC/Govt/PSU),3.26,270542.15,0,0,0,0,0,0,1,51.23,759
STABLE,110545.41,215719,403595.38,Category A (MNC/Govt/PSU),5.81,229417.66,1,0,2,1,0,0,2,36.95,692
STABLE,15964.8,50491,127537.17,Category C (Partnership/Proprietorship),4.56,17893.67,0,0,5,1,1,1,5,18.57,692
STABLE,9667.53,20247,20735.46,Category A (MNC/Govt/PSU),6.06,60356.77,0,0,4,1,1,1,4,92.92,609
FLUCTUATING,169581.98,288496,408573.8,Category A (MNC/Govt/PSU),7.35,776714.43,3,0,5,1,1,1,6,62.97,552
STABLE,133223.29,252726,750701.01,Category C (Partnership/Proprietorship),3.08,547725.18,0,0,4,1,1,0,5,75.89,680
UNSTABLE,97841.93,259220,278789.72,Category B (Private Ltd),1.31,17845.92,0,0,1,0,0,1,1,85.99,516
UNSTABLE,76691.51,156297,251238.35,Unlisted,1.6,362974.74,0,0,1,1,0,0,2,57.34,618
FLUCTUATING,11704.12,38365,85787.49,Category A (MNC/Govt/PSU),0.57,65218.35,0,0,2,0,1,1,3,92.06,585
STABLE,103834.78,225888,500052.7,Category B (Private Ltd),2.62,568340.27,0,0,2,1,0,0,2,63.83,720
STABLE,150263.18,293869,583104.66,Category A (MNC/Govt/PSU),0.94,19140.67,0,0,2,1,0,1,3,31.2,678
STABLE,69650.42,127486,253196.15,Category C (Partnership/Proprietorship),4.59,633453.39,0,0,3,1,1,1,3,13.35,716
STABLE,99963.07,198499,224383.18,Category A (MNC/Govt/PSU),1.7,866518.37,0,0,3,1,1,0,4,54.14,759
FLUCTUATING,77187.87,136228,201679.33,Category A (MNC/Govt/PSU),0.27,299955.68,0,0,0,0,0,0,0,80.88,624
FLUCTUATING,111968.98,253153,451456.12,Unlisted,0.67,469319.63,0,0,1,0,0,0,2,21.89,645
STABLE,17983.45,32222,67159.51,Category B (Private Ltd),3.17,75469.6,0,0,0,0,0,0,0,85.74,650
STABLE,19054.32,57922,59476.96,Category B (Private Ltd),1.04,3290.07,0,0,4,1,0,1,4,73.21,633
FLUCTUATING,76686.85,205346,499628.85,Category B (Private Ltd),1.19,462344.99,2,0,4,0,1,1,4,52.94,604
STABLE,13891.81,24407,67891.82,Unlisted,6.02,24365.41,0,0,1,1,0,0,1,30.25,646
STABLE,54912.65,112229,218393.37,Category B (Private Ltd),4.67,226952.64,0,0,2,1,0,0,2,77.96,726
STABLE,5941.06,14860,39569.7,Category A (MNC/Govt/PSU),3.95,36890.36,0,0,2,1,0,1,2,23.61,695
STABLE,81792.02,267320,641048.02,Category A (MNC/Govt/PSU),0.21,1253475.64,0,0,5,1,1,1,6,84.24,660
STABLE,106981.99,212252,496279.14,Unlisted,8.66,11121.46,0,0,5,1,1,1,6,42.66,644
FLUCTUATING,58256.13,178377,507386.55,Category B (Private Ltd),4.89,344307.31,0,0,0,0,0,0,1,80.46,621
UNSTABLE,23093.9,66132,192512.59,Category B (Private Ltd),0.31,293558.17,0,0,4,1,1,1,4,76.51,596
STABLE,29122.32,52597,148453.38,Category C (Partnership/Proprietorship),0.68,75803.02,0,0,3,0,1,1,3,87.2,602
STABLE,105227.71,273761,795788.09,Category A (MNC/Govt/PSU),6.18,682707.91,0,0,4,0,1,1,5,78.04,736
UNSTABLE,158988.56,296640,874422.2,Category A (MNC/Govt/PSU),8.37,843515.94,0,0,4,0,1,1,5,38.36,688
STABLE,152125.46,253761,649892.36,Category A (MNC/Govt/PSU),2.57,1230452.85,0,0,0,0,0,0,1,84.25,685
UNSTABLE,35665.77,79918,172355.81,Category B (Private Ltd),0.57,183046.12,0,0,1,1,0,0,2,18.53,624
FLUCTUATING,159285.43,281261,819967.77,Category C (Partnership/Proprietorship),0.01,1161327.9,0,0,3,1,1,0,3,41.03,640
STABLE,122682.42,279182,836157.77,Category B (Private Ltd),0.98,1146678.74,0,0,1,0,0,0,2,46.93,747
FLUCTUATING,148684.56,271538,349046.81,Category A (MNC/Govt/PSU),4.21,702271.73,0,0,3,1,0,1,4,82.04,630
STABLE,11603.67,27175,61207.85,Category A (MNC/Govt/PSU),17.41,57532.95,0,0,1,0,0,0,1,58.27,765
STABLE,110036.51,196670,418081.02,Unlisted,0.38,222042.04,0,0,3,1,1,0,3,55.59,657
STABLE,22411.83,56281,144185.71,Category C (Partnership/Proprietorship),1.95,39237.29,0,0,4,1,1,1,5,64.55,635
UNSTABLE,99237.86,242661,382022.31,Category B (Private Ltd),3.04,856583.19,0,0,1,0,0,0,2,32.67,680
STABLE,10420.72,20712,40429.07,Unlisted,6.53,87153.07,1,0,1,0,0,1,2,31.4,642
STABLE,5967.35,13052,26236.03,Category B (Private Ltd),18.25,12741.64,0,0,0,0,0,0,1,77.87,646
STABLE,48302.17,95687,135561.84,Category B (Private Ltd),12.06,248203.06,2,0,0,0,0,0,0,31.45,707
STABLE,23371.58,48493,58553.37,Category C (Partnership/Proprietorship),8.42,42557.31,0,0,4,0,1,1,4,62.03,664
STABLE,58154.44,132540,291954.93,Category C (Partnership/Proprietorship),1.21,7669.31,0,0,4,1,1,0,4,84.95,573
FLUCTUATING,109309.58,290759,760585.91,Category A (MNC/Govt/PSU),5.99,518870.09,0,0,5,1,1,1,6,29.03,714
STABLE,152978.02,272170,507472.55,Category B (Private Ltd),7.22,147198.39,1,0,4,1,1,0,5,74.5,655
STABLE,36567.38,76332,141647.85,Category A (MNC/Govt/PSU),0.47,190783.86,0,0,3,1,0,0,3,75.22,691
STABLE,51401.01,119366,215312.08,Category B (Private Ltd),4.38,316018.11,0,0,3,0,1,1,3,92.56,677
STABLE,48470.57,131246,143472.86,Category C (Partnership/Proprietorship),9.5,611200.28,0,0,5,1,1,1,5,35.23,735
STABLE,153626.17,269383,795478.72,Unlisted,0.68,583813.49,3,0,0,0,0,0,1,55.03,586
STABLE,37367.71,101685,280209.73,Category B (Private Ltd),4.14,332526.44,0,0,5,1,1,1,6,25.63,735
STABLE,90939.7,193843,275501.97,Unlisted,2.04,897928.54,0,0,5,1,1,1,5,36.04,708
STABLE,76933.48,204110,583949.56,Category B (Private Ltd),8.07,248701.06,1,0,2,0,1,0,3,10.55,704
STABLE,90252.57,293855,527124.11,Category A (MNC/Govt/PSU),6.26,15864.0,0,0,4,1,1,1,5,41.31,697
UNSTABLE,65588.74,187198,344271.96,Category B (Private Ltd),1.48,298730.82,0,0,0,0,0,0,1,93.61,595
UNSTABLE,79955.69,202122,563819.0,Category B (Private Ltd),4.58,11861.49,0,0,5,1,1,1,6,70.76,559
FLUCTUATING,132814.31,258577,477171.24,Category B (Private Ltd),1.5,12208.09,0,0,4,0,1,1,4,25.43,569
FLUCTUATING,80986.99,158306,337978.84,Unlisted,4.55,6610.69,0,0,5,1,1,1,6,48.75,539
FLUCTUATING,46514.1,77839,83850.76,Category A (MNC/Govt/PSU),1.27,343805.72,0,0,3,1,1,0,4,41.51,678
STABLE,8287.78,23698,70242.99,Category A (MNC/Govt/PSU),4.45,65946.36,0,0,2,0,0,1,2,89.91,635
FLUCTUATING,34525.4,110919,174172.37,Category A (MNC/Govt/PSU),0.06,383571.74,0,0,1,0,0,0,2,68.97,656
STABLE,62011.73,141994,192271.64,Category B (Private Ltd),2.26,544043.3,0,0,2,0,0,0,2,75.97,721
STABLE,23234.19,64800,86235.96,Category C (Partnership/Proprietorship),1.3,153408.98,0,0,0,0,0,0,0,11.31,719
FLUCTUATING,129189.01,276441,636553.01,Category A (MNC/Govt/PSU),5.2,21437.21,0,0,4,1,0,1,4,93.03,557
STABLE,45656.78,93323,202989.05,Category A (MNC/Govt/PSU),3.29,230304.19,0,0,3,1,1,1,3,28.18,744
STABLE,27905.67,79903,150618.67,Category B (Private Ltd),1.87,137770.28,0,0,1,0,1,0,2,29.74,736
FLUCTUATING,120704.1,225196,377850.16,Category C (Partnership/Proprietorship),0.7,9160.72,0,0,5,1,1,1,5,18.24,557
STABLE,73711.09,230319,664398.23,Unlisted,0.46,457764.36,0,0,4,1,1,1,4,74.39,653
STABLE,139928.23,239333,543504.75,Category A (MNC/Govt/PSU),6.41,813506.49,0,0,3,0,1,0,4,79.41,749
STABLE,102527.35,288586,350024.57,Unlisted,1.11,27862.98,0,0,0,0,0,0,0,58.19,633
STABLE,38979.28,125123,225644.46,Category C (Partnership/Proprietorship),3.7,83380.78,0,0,1,0,1,0,2,93.22,623
STABLE,63570.9,130333,337195.24,Category A (MNC/Govt/PSU),4.07,110166.47,0,0,1,0,0,0,2,38.86,751
STABLE,71573.38,199432,281221.09,Category B (Private Ltd),9.35,735780.15,3,2,1,0,0,0,2,72.86,495
STABLE,115166.81,273211,798865.64,Category A (MNC/Govt/PSU),2.86,585969.24,0,0,2,1,0,0,2,64.81,718
FLUCTUATING,100468.24,266445,359808.59,Category B (Private Ltd),9.25,732905.09,0,0,1,0,1,0,1,91.25,630
STABLE,33044.11,71608,185059.3,Category B (Private Ltd),1.78,4889.59,1,0,2,1,0,1,2,65.36,582
STABLE,21566.24,38669,44602.94,Category A (MNC/Govt/PSU),3.42,58759.87,0,0,1,1,0,0,1,12.16,742
STABLE,63188.63,114817,211329.93,Category B (Private Ltd),10.32,227715.86,0,0,4,1,0,1,4,14.77,765
STABLE,100469.31,226169,227509.15,Category A (MNC/Govt/PSU),1.96,1035065.09,1,0,2,1,0,1,2,87.0,635
UNSTABLE,26372.97,69739,146021.79,Category A (MNC/Govt/PSU),0.17,323836.88,0,0,1,1,0,0,2,66.19,612
STABLE,56548.9,99363,283414.74,Category A (MNC/Govt/PSU),0.95,64016.22,0,0,0,0,0,0,1,44.98,733
STABLE,50933.64,169327,472018.84,Category C (Partnership/Proprietorship),1.91,239340.8,0,0,3,1,0,0,3,44.02,692
UNSTABLE,96262.7,204202,307826.02,Category C (Partnership/Proprietorship),0.36,212317.16,0,0,2,0,0,1,2,54.02,602
STABLE,58401.52,171080,373379.67,Category A (MNC/Govt/PSU),0.27,560997.63,1,0,0,0,0,0,0,53.58,733
FLUCTUATING,18284.51,41566,113113.71,Category B (Private Ltd),1.08,14510.52,1,0,3,1,1,1,4,16.09,575
STABLE,148797.44,269201,520066.16,Category A (MNC/Govt/PSU),6.13,300577.59,0,0,3,0,1,0,4,18.0,736
STABLE,14146.53,24507,62508.33,Category B (Private Ltd),5.95,88702.87,0,0,3,0,0,1,3,42.85,706
STABLE,55506.89,180848,229091.46,Category B (Private Ltd),8.1,336837.5,0,0,4,1,1,1,5,71.0,720
STABLE,101219.15,196085,215125.02,Category B (Private Ltd),1.25,7269.37,0,0,4,1,1,1,5,92.11,534
STABLE,135396.81,251421,258092.98,Category B (Private Ltd),6.8,124107.55,0,0,0,0,0,0,0,71.07,698
STABLE,59912.58,128018,243334.07,Category B (Private Ltd),15.27,50191.12,0,0,2,1,0,0,3,69.52,707
STABLE,53436.28,89538,138344.74,Category C (Partnership/Proprietorship),7.28,333421.41,0,0,2,1,0,1,3,34.84,731
STABLE,25501.53,70282,74554.78,Category B (Private Ltd),4.21,327193.68,0,0,4,1,1,1,5,73.42,696
STABLE,30767.28,62756,65035.04,Category C (Partnership/Proprietorship),9.03,147484.36,1,0,2,1,0,0,2,90.66,602
STABLE,14286.92,25065,59563.18,Unlisted,7.28,31023.08,0,0,0,0,0,0,1,23.6,684
FLUCTUATING,51301.39,94358,124934.22,Category C (Partnership/Proprietorship),2.84,300308.12,0,0,1,0,0,0,1,91.53,586
STABLE,112505.28,197150,201843.93,Category B (Private Ltd),2.15,252784.83,0,0,1,1,0,0,1,62.91,698
UNSTABLE,95521.88,164093,346076.26,Category B (Private Ltd),18.86,57067.53,0,0,4,1,1,1,4,59.63,637
STABLE,95144.78,290786,678836.91,Category A (MNC/Govt/PSU),5.11,272348.07,0,0,0,0,0,0,1,32.54,733
FLUCTUATING,42567.41,108993,220696.27,Category B (Private Ltd),8.56,538674.09,0,0,0,0,0,0,0,12.11,715
UNSTABLE,124606.7,242843,563944.87,Category A (MNC/Govt/PSU),9.06,552392.53,0,0,2,0,0,1,2,46.31,707
FLUCTUATING,38317.36,75285,116112.11,Category A (MNC/Govt/PSU),9.23,5065.35,0,0,0,0,0,0,0,80.95,554
STABLE,99637.65,227054,473997.25,Category B (Private Ltd),0.1,686583.43,0,0,4,1,1,0,4,36.98,740
STABLE,31209.6,77261,169306.76,Unlisted,20.4,15855.32,1,0,0,0,0,0,1,80.48,562
STABLE,29301.42,53634,112187.25,Category A (MNC/Govt/PSU),1.44,64287.74,0,0,5,1,1,1,5,22.74,709
FLUCTUATING,71238.25,213206,272381.7,Category A (MNC/Govt/PSU),1.65,878489.17,0,0,2,1,0,0,3,92.09,609
STABLE,5176.71,14383,41632.58,Category A (MNC/Govt/PSU),2.9,43448.33,0,0,2,0,0,1,3,13.6,701
FLUCTUATING,72639.23,171704,291095.17,Category A (MNC/Govt/PSU),0.2,566049.4,0,0,0,0,0,0,1,93.95,618
STABLE,18764.02,36015,57430.79,Category A (MNC/Govt/PSU),0.77,133609.4,0,0,2,1,1,0,2,75.63,698
STABLE,39373.95,125391,362427.28,Category A (MNC/Govt/PSU),2.92,10698.76,0,0,5,1,1,1,6,85.36,616
STABLE,46043.01,104897,137962.92,Category B (Private Ltd),6.79,449363.27,0,0,2,1,0,0,3,51.95,776
UNSTABLE,8373.51,15149,33226.04,Category C (Partnership/Proprietorship),1.02,32412.6,0,0,2,1,0,0,2,76.47,539
FLUCTUATING,80525.78,258797,445579.39,Category A (MNC/Govt/PSU),1.07,1215834.6,0,0,0,0,0,0,0,21.82,695
UNSTABLE,46644.26,145973,272741.38,Category A (MNC/Govt/PSU),1.59,13059.88,0,0,1,0,0,0,2,36.64,598
STABLE,73299.59,141666,240767.73,Category A (MNC/Govt/PSU),4.56,695303.55,0,0,1,0,0,1,1,94.2,707
FLUCTUATING,34118.87,64486,153216.68,Category A (MNC/Govt/PSU),3.94,3271.43,1,0,3,1,0,1,3,60.17,535
STABLE,10003.57,18070,28801.6,Category C (Partnership/Proprietorship),0.52,62200.32,0,0,0,0,0,0,0,60.54,637
STABLE,23796.08,54845,131056.41,Category A (MNC/Govt/PSU),4.51,191096.31,0,0,3,1,0,1,4,78.69,715
STABLE,131516.2,293071,838431.29,Category C (Partnership/Proprietorship),7.7,825299.77,0,0,5,1,1,1,6,80.69,655
STABLE,25169.56,82439,224526.55,Category A (MNC/Govt/PSU),4.86,3788.53,3,0,3,1,1,0,4,36.11,515
STABLE,38681.55,104176,121091.64,Category B (Private Ltd),2.05,36896.52,0,0,5,1,1,1,6,44.14,715
STABLE,64401.78,117772,245035.07,Category A (MNC/Govt/PSU),2.61,466503.0,0,0,3,1,0,1,4,32.36,767
STABLE,25017.73,44142,103786.66,Category A (MNC/Govt/PSU),4.26,162000.8,0,0,4,1,1,1,5,21.61,730
STABLE,60759.43,182192,349300.28,Category B (Private Ltd),30.05,486018.48,1,0,1,0,0,1,2,90.66,670
STABLE,42670.31,87734,88354.56,Unlisted,2.24,90868.24,0,0,4,1,1,0,4,89.54,601
STABLE,113699.37,251452,655798.28,Category C (Partnership/Proprietorship),2.29,354980.78,0,0,0,0,0,0,1,18.1,696
UNSTABLE,11114.47,27441,39754.7,Category A (MNC/Govt/PSU),5.18,103431.42,0,0,1,0,0,0,2,50.91,650
STABLE,19316.7,42664,123303.27,Category B (Private Ltd),15.31,3207.15,0,0,0,0,0,0,0,28.93,695
STABLE,14562.6,36296,45213.2,Category A (MNC/Govt/PSU),0.24,1485.73,0,0,4,1,0,1,5,33.47,616
FLUCTUATING,54081.85,173878,488365.17,Category A (MNC/Govt/PSU),14.78,289802.93,0,0,1,0,0,1,1,40.21,719
STABLE,31505.52,270141,214432.99,Category B (Private Ltd),16.56,926622.24,0,0,3,1,0,0,3,53.77,821
FLUCTUATING,8382.39,26490,63751.12,Category C (Partnership/Proprietorship),5.05,21637.54,0,0,3,1,1,1,4,80.64,554
UNSTABLE,131579.11,245605,403465.14,Category A (MNC/Govt/PSU),12.49,14652.83,0,0,1,1,0,0,1,58.7,619
FLUCTUATING,74028.0,155807,243549.49,Category A (MNC/Govt/PSU),0.78,47982.82,1,0,3,0,1,0,3,81.06,527
UNSTABLE,11264.74,26167,64229.12,Category A (MNC/Govt/PSU),0.53,55847.43,0,0,1,0,0,0,1,59.34,650
UNSTABLE,62901.86,110956,246031.07,Unlisted,33.42,181330.37,1,2,2,0,1,0,3,77.59,447
STABLE,117898.62,231746,672578.9,Category A (MNC/Govt/PSU),0.14,878571.63,3,0,1,0,1,0,2,24.65,641
STABLE,81562.82,199281,231292.08,Category C (Partnership/Proprietorship),1.11,309821.62,0,0,3,1,1,0,3,18.34,732
STABLE,84181.7,239176,375824.42,Category C (Partnership/Proprietorship),10.82,6010.05,0,0,2,1,0,0,3,56.89,632
STABLE,108770.05,232869,540776.74,Category A (MNC/Govt/PSU),2.41,124578.34,0,0,2,1,1,0,2,55.64,708
STABLE,95865.87,227804,262412.11,Category B (Private Ltd),1.46,177958.26,1,0,1,0,1,0,2,58.4,679
STABLE,36006.59,76846,117493.25,Category A (MNC/Govt/PSU),3.43,273160.88,1,0,4,1,1,0,5,84.71,624
FLUCTUATING,23530.97,53773,136430.19,Category B (Private Ltd),1.86,20642.16,0,0,0,0,0,0,1,13.12,633
FLUCTUATING,23912.27,41174,112622.75,Category A (MNC/Govt/PSU),0.44,110468.87,0,0,2,0,0,0,2,64.35,660
STABLE,66536.09,129952,362054.06,Unlisted,3.61,627622.14,0,0,1,0,0,0,2,20.83,720
STABLE,49684.79,127782,271310.87,Category C (Partnership/Proprietorship),6.51,559671.11,1,0,5,1,1,1,6,45.96,695
STABLE,124974.05,240413,522837.88,Category B (Private Ltd),7.12,16969.42,3,0,3,0,1,1,4,33.61,569
UNSTABLE,130890.46,276499,568151.41,Category A (MNC/Govt/PSU),6.28,1338633.05,0,0,3,0,1,1,4,57.47,685
STABLE,8324.31,20663,52620.75,Category B (Private Ltd),0.48,62316.3,1,0,4,1,1,1,4,21.1,628
UNSTABLE,53876.57,172325,328815.17,Category C (Partnership/Proprietorship),7.38,475507.26,0,0,0,0,0,0,1,17.93,671
STABLE,49878.59,115887,214724.89,Category B (Private Ltd),2.24,40181.29,2,0,4,1,1,1,5,86.7,553
STABLE,18351.35,45085,116519.21,Category C (Partnership/Proprietorship),12.07,3733.91,1,0,2,0,0,1,3,76.78,613
STABLE,80299.81,155949,297678.49,Category B (Private Ltd),3.15,4942.94,0,0,0,0,0,0,1,82.79,579
STABLE,91059.03,206300,255346.22,Category C (Partnership/Proprietorship),15.9,478910.54,0,0,2,0,0,1,3,15.47,753
STABLE,74007.99,168907,331267.41,Category B (Private Ltd),8.52,571362.15,0,0,1,0,0,0,1,91.37,698
FLUCTUATING,80368.66,189357,513752.77,Category C (Partnership/Proprietorship),10.77,156328.62,0,0,3,1,1,1,3,81.59,588
STABLE,77649.14,219944,264988.69,Category C (Partnership/Proprietorship),2.99,948384.12,0,0,0,0,0,0,0,79.32,716
STABLE,43789.34,123114,318181.32,Category B (Private Ltd),0.49,78303.37,0,0,4,1,1,1,5,88.59,617
STABLE,89839.72,193309,472390.43,Unlisted,0.71,14013.36,0,0,4,0,1,1,5,91.09,538
STABLE,17066.42,43434,60478.86,Category B (Private Ltd),3.02,29541.72,0,0,0,0,0,0,1,37.26,718
STABLE,99422.14,231578,417459.15,Category A (MNC/Govt/PSU),5.94,783908.48,0,0,2,0,1,0,3,44.13,780
STABLE,118738.1,229589,418672.87,Category A (MNC/Govt/PSU),0.17,969128.7,0,0,5,1,1,1,6,93.84,667
UNSTABLE,105406.22,228008,634928.62,Category B (Private Ltd),6.36,4465.78,0,0,3,1,1,0,3,77.28,521
STABLE,87924.56,238228,233276.94,Category C (Partnership/Proprietorship),14.39,1178867.7,0,0,5,1,1,1,6,69.96,803
FLUCTUATING,59872.33,137838,223096.01,Category B (Private Ltd),2.07,387419.85,1,0,3,0,1,0,4,82.34,573
STABLE,7213.96,17711,47621.54,Category B (Private Ltd),6.48,808.37,3,0,0,0,0,0,0,33.61,481
STABLE,86934.54,167833,338936.21,Category B (Private Ltd),2.59,47524.38,0,0,2,1,0,0,3,20.66,725
UNSTABLE,67662.25,169402,500495.35,Category C (Partnership/Proprietorship),1.95,371392.71,0,0,2,0,1,1,2,84.4,563
STABLE,81669.27,162904,173452.16,Category B (Private Ltd),4.03,190152.59,0,0,0,0,0,0,0,47.44,737
STABLE,59541.1,159477,203192.73,Category C (Partnership/Proprietorship),4.79,4138.24,1,0,4,0,1,1,5,32.27,569
STABLE,51597.58,101954,160941.0,Category C (Partnership/Proprietorship),2.88,487334.74,0,0,5,1,1,1,5,86.12,645
STABLE,33861.88,64391,119066.85,Category C (Partnership/Proprietorship),10.5,267387.74,0,0,1,0,0,0,1,29.25,735
UNSTABLE,29687.88,55111,124732.12,Category A (MNC/Govt/PSU),1.32,232103.44,0,0,4,0,1,1,4,62.32,606
STABLE,79474.33,182425,465019.69,Category A (MNC/Govt/PSU),3.02,17545.17,0,0,5,1,1,1,5,45.98,675
STABLE,125605.29,232182,332128.33,Category A (MNC/Govt/PSU),3.66,980961.42,0,0,2,1,1,0,3,29.65,768
STABLE,158937.3,284703,713587.25,Category B (Private Ltd),2.25,1258729.78,0,1,1,0,0,0,1,67.9,669
STABLE,91345.43,168262,354576.9,Category C (Partnership/Proprietorship),3.65,386908.3,0,0,0,0,0,0,0,53.37,747
UNSTABLE,132626.63,227733,495908.89,Category A (MNC/Govt/PSU),2.99,222212.09,0,0,0,0,0,0,0,21.09,660
UNSTABLE,52050.77,93190,267235.0,Category C (Partnership/Proprietorship),7.49,137071.53,0,0,0,0,0,0,1,47.64,634
STABLE,26980.09,81641,135254.98,Category A (MNC/Govt/PSU),0.38,4381.9,0,0,3,0,1,1,3,31.85,690
STABLE,108276.6,293531,396742.3,Category A (MNC/Govt/PSU),0.35,18921.83,0,0,1,0,0,0,2,13.33,682
STABLE,30484.46,60701,76895.61,Category C (Partnership/Proprietorship),3.57,3976.23,0,0,2,1,1,0,2,28.07,640
STABLE,12998.85,25583,42092.64,Category B (Private Ltd),15.7,126716.23,0,0,2,0,0,1,2,72.94,743
STABLE,47228.71,115481,256516.27,Category A (MNC/Govt/PSU),12.89,10820.64,0,0,5,1,1,1,5,79.32,668
